Observation,Measure,Measure,Area Code,Area,Year,Quarter
93975,New dwellings,New dwellings,K03000001,Great Britain,1997,Q2
94716,New dwellings,New dwellings,K03000001,Great Britain,1997,Q3
94200,New dwellings,New dwellings,K03000001,Great Britain,1997,Q4
95870,New dwellings,New dwellings,K03000001,Great Britain,1998,Q1
98533,New dwellings,New dwellings,K03000001,Great Britain,1998,Q2
95537,New dwellings,New dwellings,K03000001,Great Britain,1998,Q3
103029,New dwellings,New dwellings,K03000001,Great Britain,1998,Q4
109259,New dwellings,New dwellings,K03000001,Great Britain,1999,Q1
114145,New dwellings,New dwellings,K03000001,Great Britain,1999,Q2
115551,New dwellings,New dwellings,K03000001,Great Britain,1999,Q3
118665,New dwellings,New dwellings,K03000001,Great Britain,1999,Q4
123771,New dwellings,New dwellings,K03000001,Great Britain,2000,Q1
122691,New dwellings,New dwellings,K03000001,Great Britain,2000,Q2
125487,New dwellings,New dwellings,K03000001,Great Britain,2000,Q3
128231,New dwellings,New dwellings,K03000001,Great Britain,2000,Q4
133345,New dwellings,New dwellings,K03000001,Great Britain,2001,Q1
130762,New dwellings,New dwellings,K03000001,Great Britain,2001,Q2
138847,New dwellings,New dwellings,K03000001,Great Britain,2001,Q3
137340,New dwellings,New dwellings,K03000001,Great Britain,2001,Q4
147230,New dwellings,New dwellings,K03000001,Great Britain,2002,Q1
156884,New dwellings,New dwellings,K03000001,Great Britain,2002,Q2
165965,New dwellings,New dwellings,K03000001,Great Britain,2002,Q3
166746,New dwellings,New dwellings,K03000001,Great Britain,2002,Q4
166506,New dwellings,New dwellings,K03000001,Great Britain,2003,Q1
182890,New dwellings,New dwellings,K03000001,Great Britain,2003,Q2
201034,New dwellings,New dwellings,K03000001,Great Britain,2003,Q3
202738,New dwellings,New dwellings,K03000001,Great Britain,2003,Q4
209643,New dwellings,New dwellings,K03000001,Great Britain,2004,Q1
212460,New dwellings,New dwellings,K03000001,Great Britain,2004,Q2
220293,New dwellings,New dwellings,K03000001,Great Britain,2004,Q3
209634,New dwellings,New dwellings,K03000001,Great Britain,2004,Q4
216569,New dwellings,New dwellings,K03000001,Great Britain,2005,Q1
216240,New dwellings,New dwellings,K03000001,Great Britain,2005,Q2
218129,New dwellings,New dwellings,K03000001,Great Britain,2005,Q3
217783,New dwellings,New dwellings,K03000001,Great Britain,2005,Q4
225439,New dwellings,New dwellings,K03000001,Great Britain,2006,Q1
224507,New dwellings,New dwellings,K03000001,Great Britain,2006,Q2
221283,New dwellings,New dwellings,K03000001,Great Britain,2006,Q3
222456,New dwellings,New dwellings,K03000001,Great Britain,2006,Q4
219663,New dwellings,New dwellings,K03000001,Great Britain,2007,Q1
224106,New dwellings,New dwellings,K03000001,Great Britain,2007,Q2
221697.3522877513,New dwellings,New dwellings,K03000001,Great Britain,2007,Q3
225121.71629324605,New dwellings,New dwellings,K03000001,Great Britain,2007,Q4
2245467699453947,New dwellings,New dwellings,K03000001,Great Britain,2008,Q1
2308226002859215,New dwellings,New dwellings,K03000001,Great Britain,2008,Q2
221833.17654401483,New dwellings,New dwellings,K03000001,Great Britain,2008,Q3
201869.508686136,New dwellings,New dwellings,K03000001,Great Britain,2008,Q4
191155.9491293688,New dwellings,New dwellings,K03000001,Great Britain,2009,Q1
192253.11875477424,New dwellings,New dwellings,K03000001,Great Britain,2009,Q2
2031077278968525,New dwellings,New dwellings,K03000001,Great Britain,2009,Q3
207658.46702111547,New dwellings,New dwellings,K03000001,Great Britain,2009,Q4
209143.4273175052,New dwellings,New dwellings,K03000001,Great Britain,2010,Q1
213787.18900292693,New dwellings,New dwellings,K03000001,Great Britain,2010,Q2
21430131029577,New dwellings,New dwellings,K03000001,Great Britain,2010,Q3
218542.26148966505,New dwellings,New dwellings,K03000001,Great Britain,2010,Q4
209365.73163189468,New dwellings,New dwellings,K03000001,Great Britain,2011,Q1
2220326055613363,New dwellings,New dwellings,K03000001,Great Britain,2011,Q2
232036.68267193603,New dwellings,New dwellings,K03000001,Great Britain,2011,Q3
236291.98280110388,New dwellings,New dwellings,K03000001,Great Britain,2011,Q4
229211.37501144296,New dwellings,New dwellings,K03000001,Great Britain,2012,Q1
232323.14410092868,New dwellings,New dwellings,K03000001,Great Britain,2012,Q2
233257009,New dwellings,New dwellings,K03000001,Great Britain,2012,Q3
233299217,New dwellings,New dwellings,K03000001,Great Britain,2012,Q4
229515.47621912463,New dwellings,New dwellings,K03000001,Great Britain,2013,Q1
243401.872035564,New dwellings,New dwellings,K03000001,Great Britain,2013,Q2
245273.94246848603,New dwellings,New dwellings,K03000001,Great Britain,2013,Q3
245940.19374978045,New dwellings,New dwellings,K03000001,Great Britain,2013,Q4
265611.8505333333,New dwellings,New dwellings,K03000001,Great Britain,2014,Q1
282390.9322120244,New dwellings,New dwellings,K03000001,Great Britain,2014,Q2
285150.6227647206,New dwellings,New dwellings,K03000001,Great Britain,2014,Q3
