Value,Year,Month,Seasonal Adjustment,Country
800.7213971176692,2022,July,NSA,Europe - Other EU
1048.7669223890437,2022,Aug,NSA,Europe - Other EU
955.5556600757029,2022,Sep,NSA,Europe - Other EU
788.8124822563948,2022,Oct,NSA,Europe - Other EU
520.2324771485808,2022,Nov,NSA,Europe - Other EU
399.87252296456904,2022,Dec†,NSA,Europe - Other EU
2870.168372849392,2018,Feb,NSA,Europe - EU15
3389.9458885875365,2018,Mar,NSA,Europe - EU15
4864.441054069019,2018,Apr,NSA,Europe - EU15
4773.793701792986,2018,May,NSA,Europe - EU15
6192.3826004379725,2018,Jun,NSA,Europe - EU15
5852.751303241683,2018,Jul,NSA,Europe - EU15
7486.4548951135785,2018,Aug,NSA,Europe - EU15
5973.07644757063,2018,Sep,NSA,Europe - EU15
5469.023003719067,2018,Oct,NSA,Europe - EU15
3182.7844959530585,2018,Nov,NSA,Europe - EU15
3002.0955932718825,2018,Dec,NSA,Europe - EU15
2998.9331445653497,2019,Jan,NSA,Europe - EU15
3230.4998983070454,2019,Feb,NSA,Europe - EU15
4018.963250021003,2019,Mar,NSA,Europe - EU15
4790.891401381712,2019,Apr,NSA,Europe - EU15
5192.153781046257,2019,May,NSA,Europe - EU15
6015.232283633185,2019,Jun,NSA,Europe - EU15
5492.193034167073,2019,Jul,NSA,Europe - EU15
7253.805036042994,2019,Aug,NSA,Europe - EU15
6055.118448084731,2019,Sep,NSA,Europe - EU15
5143.089096839735,2019,Oct,NSA,Europe - EU15
3169.185170859206,2019,Nov,NSA,Europe - EU15
2876.3563666217588,2019,Dec,NSA,Europe - EU15
2906.6833432687154,2020,Jan,NSA,Europe - EU15
2883.663129894775,2020,Feb,NSA,Europe - EU15
1671.9097176661992,2020,Mar,NSA,Europe - EU15
0,2020,Apr,NSA,Europe - EU15
0,2020,May,NSA,Europe - EU15
0,2020,Jun,NSA,Europe - EU15
0,2020,Jul,NSA,Europe - EU15
0,2020,Aug,NSA,Europe - EU15
0,2020,Sep,NSA,Europe - EU15
0,2020,Oct,NSA,Europe - EU15
0,2020,Nov,NSA,Europe - EU15
0,2020,Dec,NSA,Europe - EU15
35.06376728982452,2021,Jan *,NSA,Europe - EU15
53.3988553399312,2021,Feb *,NSA,Europe - EU15
79.4080453702439,2021,Mar *,NSA,Europe - EU15
63.81102529579257,2021,Apr *,NSA,Europe - EU15
117.82243053843341,2021,May *,NSA,Europe - EU15
227.33390216577644,2021,Jun *,NSA,Europe - EU15
954.2737930871292,2021,Jul,NSA,Europe - EU15
1905.5176213683837,2021,Aug,NSA,Europe - EU15
2366.790883973694,2021,Sep,NSA,Europe - EU15
