Value,Identifier,Construction,Time Period,Adjustment
110,MV3D,Public housing R&M,Apr to June 1998,Seasonally Adjusted
114.5,MV3D,Public housing R&M,July to Sept 1998,Seasonally Adjusted
118.1,MV3D,Public housing R&M,Oct to Dec 1998,Seasonally Adjusted
110.5,MV3D,Public housing R&M,Jan to Mar 1999,Seasonally Adjusted
111.5,MV3D,Public housing R&M,Apr to June 1999,Seasonally Adjusted
112.2,MV3D,Public housing R&M,July to Sept 1999,Seasonally Adjusted
110.7,MV3D,Public housing R&M,Oct to Dec 1999,Seasonally Adjusted
114.4,MV3D,Public housing R&M,Jan to Mar 2000,Seasonally Adjusted
111.3,MV3D,Public housing R&M,Apr to June 2000,Seasonally Adjusted
105.6,MV3D,Public housing R&M,July to Sept 2000,Seasonally Adjusted
99.3,MV3D,Public housing R&M,Oct to Dec 2000,Seasonally Adjusted
102.5,MV3D,Public housing R&M,Jan to Mar 2001,Seasonally Adjusted
103.8,MV3D,Public housing R&M,Apr to June 2001,Seasonally Adjusted
99.1,MV3D,Public housing R&M,July to Sept 2001,Seasonally Adjusted
101.8,MV3D,Public housing R&M,Oct to Dec 2001,Seasonally Adjusted
98,MV3D,Public housing R&M,Jan to Mar 2002,Seasonally Adjusted
95.8,MV3D,Public housing R&M,Apr to June 2002,Seasonally Adjusted
94.5,MV3D,Public housing R&M,July to Sept 2002,Seasonally Adjusted
98.1,MV3D,Public housing R&M,Oct to Dec 2002,Seasonally Adjusted
96.5,MV3D,Public housing R&M,Jan to Mar 2003,Seasonally Adjusted
107.4,MV3D,Public housing R&M,Apr to June 2003,Seasonally Adjusted
118.3,MV3D,Public housing R&M,July to Sept 2003,Seasonally Adjusted
114.5,MV3D,Public housing R&M,Oct to Dec 2003,Seasonally Adjusted
122.7,MV3D,Public housing R&M,Jan to Mar 2004,Seasonally Adjusted
118.8,MV3D,Public housing R&M,Apr to June 2004,Seasonally Adjusted
116.8,MV3D,Public housing R&M,July to Sept 2004,Seasonally Adjusted
121,MV3D,Public housing R&M,Oct to Dec 2004,Seasonally Adjusted
126.4,MV3D,Public housing R&M,Jan to Mar 2005,Seasonally Adjusted
125.7,MV3D,Public housing R&M,Apr to June 2005,Seasonally Adjusted
113,MV3D,Public housing R&M,July to Sept 2005,Seasonally Adjusted
111.3,MV3D,Public housing R&M,Oct to Dec 2005,Seasonally Adjusted
111.7,MV3D,Public housing R&M,Jan to Mar 2006,Seasonally Adjusted
110.7,MV3D,Public housing R&M,Apr to June 2006,Seasonally Adjusted
117.9,MV3D,Public housing R&M,July to Sept 2006,Seasonally Adjusted
115.5,MV3D,Public housing R&M,Oct to Dec 2006,Seasonally Adjusted
115,MV3D,Public housing R&M,Jan to Mar 2007,Seasonally Adjusted
106.7,MV3D,Public housing R&M,Apr to June 2007,Seasonally Adjusted
102.8,MV3D,Public housing R&M,July to Sept 2007,Seasonally Adjusted
107.3,MV3D,Public housing R&M,Oct to Dec 2007,Seasonally Adjusted
107.7,MV3D,Public housing R&M,Jan to Mar 2008,Seasonally Adjusted
114.8,MV3D,Public housing R&M,Apr to June 2008,Seasonally Adjusted
112.4,MV3D,Public housing R&M,July to Sept 2008,Seasonally Adjusted
109.5,MV3D,Public housing R&M,Oct to Dec 2008,Seasonally Adjusted
102.2,MV3D,Public housing R&M,Jan to Mar 2009,Seasonally Adjusted
106.5,MV3D,Public housing R&M,Apr to June 2009,Seasonally Adjusted
114.2,MV3D,Public housing R&M,July to Sept 2009,Seasonally Adjusted
109.4,MV3D,Public housing R&M,Oct to Dec 2009,Seasonally Adjusted
117.6,MV3D,Public housing R&M,Jan to Mar 2010,Seasonally Adjusted
120.6,MV3D,Public housing R&M,Apr to June 2010,Seasonally Adjusted
116.9,MV3D,Public housing R&M,July to Sept 2010,Seasonally Adjusted
114.4,MV3D,Public housing R&M,Oct to Dec 2010,Seasonally Adjusted
109.3,MV3D,Public housing R&M,Jan to Mar 2011,Seasonally Adjusted
108.8,MV3D,Public housing R&M,Apr to June 2011,Seasonally Adjusted
105.3,MV3D,Public housing R&M,July to Sept 2011,Seasonally Adjusted
106.3,MV3D,Public housing R&M,Oct to Dec 2011,Seasonally Adjusted
106.8,MV3D,Public housing R&M,Jan to Mar 2012,Seasonally Adjusted
110,MV3D,Public housing R&M,Apr to June 2012,Seasonally Adjusted
113.1,MV3D,Public housing R&M,July to Sept 2012,Seasonally Adjusted
112.6,MV3D,Public housing R&M,Oct to Dec 2012,Seasonally Adjusted
108.2,MV3D,Public housing R&M,Jan to Mar 2013,Seasonally Adjusted
106,MV3D,Public housing R&M,Apr to June 2013,Seasonally Adjusted
105.1,MV3D,Public housing R&M,July to Sept 2013,Seasonally Adjusted
107.9,MV3D,Public housing R&M,Oct to Dec 2013,Seasonally Adjusted
109.1,MV3D,Public housing R&M,Jan to Mar 2014,Seasonally Adjusted
110.3,MV3D,Public housing R&M,Apr to June 2014,Seasonally Adjusted
112,MV3D,Public housing R&M,July to Sept 2014,Seasonally Adjusted
111,MV3D,Public housing R&M,Oct to Dec 2014,Seasonally Adjusted
112.7,MV3D,Public housing R&M,Jan to Mar 2015,Seasonally Adjusted
111.9,MV3D,Public housing R&M,Apr to June 2015,Seasonally Adjusted
112.9,MV3D,Public housing R&M,July to Sept 2015,Seasonally Adjusted
110,MV3D,Public housing R&M,Oct to Dec 2015,Seasonally Adjusted
111.7,MV3D,Public housing R&M,Jan to Mar 2016,Seasonally Adjusted
108.4,MV3D,Public housing R&M,Apr to June 2016,Seasonally Adjusted
102,MV3D,Public housing R&M,July to Sept 2016,Seasonally Adjusted
103.8,MV3D,Public housing R&M,Oct to Dec 2016,Seasonally Adjusted
103.3,MV3D,Public housing R&M,Jan to Mar 2017,Seasonally Adjusted
104.7,MV3D,Public housing R&M,Apr to June 2017,Seasonally Adjusted
103.7,MV3D,Public housing R&M,July to Sept 2017,Seasonally Adjusted
102.8,MV3D,Public housing R&M,Oct to Dec 2017,Seasonally Adjusted
100.4,MV3D,Public housing R&M,Jan to Mar 2018,Seasonally Adjusted
101,MV3D,Public housing R&M,Apr to June 2018,Seasonally Adjusted
99.5,MV3D,Public housing R&M,July to Sept 2018,Seasonally Adjusted
97.2,MV3D,Public housing R&M,Oct to Dec 2018,Seasonally Adjusted
97.5,MV3D,Public housing R&M,Jan to Mar 2019,Seasonally Adjusted
98.2,MV3D,Public housing R&M,Apr to June 2019,Seasonally Adjusted
101.4,MV3D,Public housing R&M,July to Sept 2019,Seasonally Adjusted
103,MV3D,Public housing R&M,Oct to Dec 2019,Seasonally Adjusted
105,MV3D,Public housing R&M,Jan to Mar 2020,Seasonally Adjusted
53.5,MV3D,Public housing R&M,Apr to June 2020,Seasonally Adjusted
81.2,MV3D,Public housing R&M,July to Sept 2020,Seasonally Adjusted
92.2,MV3D,Public housing R&M,Oct to Dec 2020,Seasonally Adjusted
89.7,MV3D,Public housing R&M,Jan to Mar 2021,Seasonally Adjusted
88,MV3D,Public housing R&M,Apr to June 2021,Seasonally Adjusted
86.7,MV3D,Public housing R&M,July to Sept 2021,Seasonally Adjusted
86.9,MV3D,Public housing R&M,Oct to Dec 2021,Seasonally Adjusted
85.5,MV3D,Public housing R&M,Jan to Mar 2022,Seasonally Adjusted
88.8,MV3D,Public housing R&M,Apr to Jun 2022,Seasonally Adjusted
84.2,MV3D,Public housing R&M,Jul to Sep 2022,Seasonally Adjusted
87.1,MV3D,Public housing R&M,Oct to Dec 2022,Seasonally Adjusted
93,MV3D,Public housing R&M,Jan to Mar 2023,Seasonally Adjusted
122.7,MV3D,Public housing R&M,Jan 2010,Seasonally Adjusted
119,MV3D,Public housing R&M,Feb 2010,Seasonally Adjusted
111.1,MV3D,Public housing R&M,Mar 2010,Seasonally Adjusted
116.9,MV3D,Public housing R&M,Apr 2010,Seasonally Adjusted
120,MV3D,Public housing R&M,May 2010,Seasonally Adjusted
125,MV3D,Public housing R&M,Jun 2010,Seasonally Adjusted
118.4,MV3D,Public housing R&M,Jul 2010,Seasonally Adjusted
116.3,MV3D,Public housing R&M,Aug 2010,Seasonally Adjusted
115.9,MV3D,Public housing R&M,Sep 2010,Seasonally Adjusted
115.4,MV3D,Public housing R&M,Oct 2010,Seasonally Adjusted
113.5,MV3D,Public housing R&M,Nov 2010,Seasonally Adjusted
114.4,MV3D,Public housing R&M,Dec 2010,Seasonally Adjusted
101.1,MV3D,Public housing R&M,Jan 2011,Seasonally Adjusted
112.6,MV3D,Public housing R&M,Feb 2011,Seasonally Adjusted
114.1,MV3D,Public housing R&M,Mar 2011,Seasonally Adjusted
110.3,MV3D,Public housing R&M,Apr 2011,Seasonally Adjusted
106.7,MV3D,Public housing R&M,May 2011,Seasonally Adjusted
109.6,MV3D,Public housing R&M,Jun 2011,Seasonally Adjusted
106.3,MV3D,Public housing R&M,Jul 2011,Seasonally Adjusted
106,MV3D,Public housing R&M,Aug 2011,Seasonally Adjusted
103.7,MV3D,Public housing R&M,Sep 2011,Seasonally Adjusted
105.3,MV3D,Public housing R&M,Oct 2011,Seasonally Adjusted
105.7,MV3D,Public housing R&M,Nov 2011,Seasonally Adjusted
108,MV3D,Public housing R&M,Dec 2011,Seasonally Adjusted
106.3,MV3D,Public housing R&M,Jan 2012,Seasonally Adjusted
107.5,MV3D,Public housing R&M,Feb 2012,Seasonally Adjusted
106.7,MV3D,Public housing R&M,Mar 2012,Seasonally Adjusted
106.4,MV3D,Public housing R&M,Apr 2012,Seasonally Adjusted
114,MV3D,Public housing R&M,May 2012,Seasonally Adjusted
109.5,MV3D,Public housing R&M,Jun 2012,Seasonally Adjusted
113.6,MV3D,Public housing R&M,Jul 2012,Seasonally Adjusted
111.7,MV3D,Public housing R&M,Aug 2012,Seasonally Adjusted
114,MV3D,Public housing R&M,Sep 2012,Seasonally Adjusted
112.9,MV3D,Public housing R&M,Oct 2012,Seasonally Adjusted
113.9,MV3D,Public housing R&M,Nov 2012,Seasonally Adjusted
110.9,MV3D,Public housing R&M,Dec 2012,Seasonally Adjusted
107,MV3D,Public housing R&M,Jan 2013,Seasonally Adjusted
110.1,MV3D,Public housing R&M,Feb 2013,Seasonally Adjusted
107.6,MV3D,Public housing R&M,Mar 2013,Seasonally Adjusted
109.8,MV3D,Public housing R&M,Apr 2013,Seasonally Adjusted
105.3,MV3D,Public housing R&M,May 2013,Seasonally Adjusted
103,MV3D,Public housing R&M,Jun 2013,Seasonally Adjusted
100.6,MV3D,Public housing R&M,Jul 2013,Seasonally Adjusted
109,MV3D,Public housing R&M,Aug 2013,Seasonally Adjusted
105.7,MV3D,Public housing R&M,Sep 2013,Seasonally Adjusted
108.9,MV3D,Public housing R&M,Oct 2013,Seasonally Adjusted
107.2,MV3D,Public housing R&M,Nov 2013,Seasonally Adjusted
107.6,MV3D,Public housing R&M,Dec 2013,Seasonally Adjusted
113.4,MV3D,Public housing R&M,Jan 2014,Seasonally Adjusted
107.2,MV3D,Public housing R&M,Feb 2014,Seasonally Adjusted
106.8,MV3D,Public housing R&M,Mar 2014,Seasonally Adjusted
110.8,MV3D,Public housing R&M,Apr 2014,Seasonally Adjusted
108.7,MV3D,Public housing R&M,May 2014,Seasonally Adjusted
111.4,MV3D,Public housing R&M,Jun 2014,Seasonally Adjusted
110.9,MV3D,Public housing R&M,Jul 2014,Seasonally Adjusted
113.5,MV3D,Public housing R&M,Aug 2014,Seasonally Adjusted
111.6,MV3D,Public housing R&M,Sep 2014,Seasonally Adjusted
109.6,MV3D,Public housing R&M,Oct 2014,Seasonally Adjusted
114,MV3D,Public housing R&M,Nov 2014,Seasonally Adjusted
109.4,MV3D,Public housing R&M,Dec 2014,Seasonally Adjusted
112.7,MV3D,Public housing R&M,Jan 2015,Seasonally Adjusted
111,MV3D,Public housing R&M,Feb 2015,Seasonally Adjusted
114.4,MV3D,Public housing R&M,Mar 2015,Seasonally Adjusted
109.5,MV3D,Public housing R&M,Apr 2015,Seasonally Adjusted
113.7,MV3D,Public housing R&M,May 2015,Seasonally Adjusted
112.6,MV3D,Public housing R&M,Jun 2015,Seasonally Adjusted
111.7,MV3D,Public housing R&M,Jul 2015,Seasonally Adjusted
112,MV3D,Public housing R&M,Aug 2015,Seasonally Adjusted
115.1,MV3D,Public housing R&M,Sep 2015,Seasonally Adjusted
110.9,MV3D,Public housing R&M,Oct 2015,Seasonally Adjusted
109.1,MV3D,Public housing R&M,Nov 2015,Seasonally Adjusted
109.9,MV3D,Public housing R&M,Dec 2015,Seasonally Adjusted
111,MV3D,Public housing R&M,Jan 2016,Seasonally Adjusted
112.8,MV3D,Public housing R&M,Feb 2016,Seasonally Adjusted
111.2,MV3D,Public housing R&M,Mar 2016,Seasonally Adjusted
111.2,MV3D,Public housing R&M,Apr 2016,Seasonally Adjusted
108.5,MV3D,Public housing R&M,May 2016,Seasonally Adjusted
105.3,MV3D,Public housing R&M,Jun 2016,Seasonally Adjusted
103.5,MV3D,Public housing R&M,Jul 2016,Seasonally Adjusted
100.1,MV3D,Public housing R&M,Aug 2016,Seasonally Adjusted
102.3,MV3D,Public housing R&M,Sep 2016,Seasonally Adjusted
102.8,MV3D,Public housing R&M,Oct 2016,Seasonally Adjusted
102.2,MV3D,Public housing R&M,Nov 2016,Seasonally Adjusted
106.5,MV3D,Public housing R&M,Dec 2016,Seasonally Adjusted
100.3,MV3D,Public housing R&M,Jan 2017,Seasonally Adjusted
104,MV3D,Public housing R&M,Feb 2017,Seasonally Adjusted
105.4,MV3D,Public housing R&M,Mar 2017,Seasonally Adjusted
105.2,MV3D,Public housing R&M,Apr 2017,Seasonally Adjusted
103,MV3D,Public housing R&M,May 2017,Seasonally Adjusted
105.9,MV3D,Public housing R&M,Jun 2017,Seasonally Adjusted
104.3,MV3D,Public housing R&M,Jul 2017,Seasonally Adjusted
103.7,MV3D,Public housing R&M,Aug 2017,Seasonally Adjusted
103.2,MV3D,Public housing R&M,Sep 2017,Seasonally Adjusted
102.9,MV3D,Public housing R&M,Oct 2017,Seasonally Adjusted
101.7,MV3D,Public housing R&M,Nov 2017,Seasonally Adjusted
103.9,MV3D,Public housing R&M,Dec 2017,Seasonally Adjusted
101.1,MV3D,Public housing R&M,Jan 2018,Seasonally Adjusted
101,MV3D,Public housing R&M,Feb 2018,Seasonally Adjusted
99.2,MV3D,Public housing R&M,Mar 2018,Seasonally Adjusted
99.8,MV3D,Public housing R&M,Apr 2018,Seasonally Adjusted
99.6,MV3D,Public housing R&M,May 2018,Seasonally Adjusted
103.8,MV3D,Public housing R&M,Jun 2018,Seasonally Adjusted
99.5,MV3D,Public housing R&M,Jul 2018,Seasonally Adjusted
100.3,MV3D,Public housing R&M,Aug 2018,Seasonally Adjusted
98.6,MV3D,Public housing R&M,Sep 2018,Seasonally Adjusted
98.3,MV3D,Public housing R&M,Oct 2018,Seasonally Adjusted
96.5,MV3D,Public housing R&M,Nov 2018,Seasonally Adjusted
96.7,MV3D,Public housing R&M,Dec 2018,Seasonally Adjusted
96.3,MV3D,Public housing R&M,Jan 2019,Seasonally Adjusted
100.4,MV3D,Public housing R&M,Feb 2019,Seasonally Adjusted
95.7,MV3D,Public housing R&M,Mar 2019,Seasonally Adjusted
96.5,MV3D,Public housing R&M,Apr 2019,Seasonally Adjusted
99.6,MV3D,Public housing R&M,May 2019,Seasonally Adjusted
98.4,MV3D,Public housing R&M,Jun 2019,Seasonally Adjusted
101.6,MV3D,Public housing R&M,Jul 2019,Seasonally Adjusted
100.5,MV3D,Public housing R&M,Aug 2019,Seasonally Adjusted
102.1,MV3D,Public housing R&M,Sep 2019,Seasonally Adjusted
101.6,MV3D,Public housing R&M,Oct 2019,Seasonally Adjusted
102.9,MV3D,Public housing R&M,Nov 2019,Seasonally Adjusted
104.3,MV3D,Public housing R&M,Dec 2019,Seasonally Adjusted
105.2,MV3D,Public housing R&M,Jan 2020,Seasonally Adjusted
104.4,MV3D,Public housing R&M,Feb 2020,Seasonally Adjusted
105.3,MV3D,Public housing R&M,Mar 2020,Seasonally Adjusted
52,MV3D,Public housing R&M,Apr 2020,Seasonally Adjusted
49,MV3D,Public housing R&M,May 2020,Seasonally Adjusted
59.5,MV3D,Public housing R&M,Jun 2020,Seasonally Adjusted
72.9,MV3D,Public housing R&M,Jul 2020,Seasonally Adjusted
81.1,MV3D,Public housing R&M,Aug 2020,Seasonally Adjusted
89.6,MV3D,Public housing R&M,Sep 2020,Seasonally Adjusted
91.5,MV3D,Public housing R&M,Oct 2020,Seasonally Adjusted
93.1,MV3D,Public housing R&M,Nov 2020,Seasonally Adjusted
92.1,MV3D,Public housing R&M,Dec 2020,Seasonally Adjusted
94.2,MV3D,Public housing R&M,Jan 2021,Seasonally Adjusted
87.5,MV3D,Public housing R&M,Feb 2021,Seasonally Adjusted
87.4,MV3D,Public housing R&M,Mar 2021,Seasonally Adjusted
88.4,MV3D,Public housing R&M,Apr 2021,Seasonally Adjusted
90.3,MV3D,Public housing R&M,May 2021,Seasonally Adjusted
85.4,MV3D,Public housing R&M,Jun 2021,Seasonally Adjusted
87.7,MV3D,Public housing R&M,Jul 2021,Seasonally Adjusted
85.9,MV3D,Public housing R&M,Aug 2021,Seasonally Adjusted
86.4,MV3D,Public housing R&M,Sep 2021,Seasonally Adjusted
88.4,MV3D,Public housing R&M,Oct 2021,Seasonally Adjusted
87.7,MV3D,Public housing R&M,Nov 2021,Seasonally Adjusted
84.5,MV3D,Public housing R&M,Dec 2021,Seasonally Adjusted
84.4,MV3D,Public housing R&M,Jan 2022,Seasonally Adjusted
85.4,MV3D,Public housing R&M,Feb 2022,Seasonally Adjusted
86.7,MV3D,Public housing R&M,Mar 2022,Seasonally Adjusted
86.5,MV3D,Public housing R&M,Apr 2022,Seasonally Adjusted
90.9,MV3D,Public housing R&M,May 2022,Seasonally Adjusted
88.9,MV3D,Public housing R&M,Jun 2022,Seasonally Adjusted
85.6,MV3D,Public housing R&M,Jul 2022,Seasonally Adjusted
79.9,MV3D,Public housing R&M,Aug 2022,Seasonally Adjusted
87.2,MV3D,Public housing R&M,Sep 2022,Seasonally Adjusted
87.7,MV3D,Public housing R&M,Oct 2022,Seasonally Adjusted
84.8,MV3D,Public housing R&M,Nov 2022,Seasonally Adjusted
88.7,MV3D,Public housing R&M,Dec 2022,Seasonally Adjusted
92.3,MV3D,Public housing R&M,Jan 2023,Seasonally Adjusted
95.3,MV3D,Public housing R&M,Feb 2023,Seasonally Adjusted
91.4,MV3D,Public housing R&M,Mar 2023,Seasonally Adjusted
94.8,MV3D,Public housing R&M,Apr 2023,Seasonally Adjusted
94.9,MV3E,Private housing R&M,1998,Seasonally Adjusted
93.7,MV3E,Private housing R&M,1999,Seasonally Adjusted
94.1,MV3E,Private housing R&M,2000,Seasonally Adjusted
98.3,MV3E,Private housing R&M,2001,Seasonally Adjusted
106.4,MV3E,Private housing R&M,2002,Seasonally Adjusted
104,MV3E,Private housing R&M,2003,Seasonally Adjusted
101,MV3E,Private housing R&M,2004,Seasonally Adjusted
92,MV3E,Private housing R&M,2005,Seasonally Adjusted
86.3,MV3E,Private housing R&M,2006,Seasonally Adjusted
84.1,MV3E,Private housing R&M,2007,Seasonally Adjusted
85.1,MV3E,Private housing R&M,2008,Seasonally Adjusted
74.4,MV3E,Private housing R&M,2009,Seasonally Adjusted
81.4,MV3E,Private housing R&M,2010,Seasonally Adjusted
81.7,MV3E,Private housing R&M,2011,Seasonally Adjusted
77,MV3E,Private housing R&M,2012,Seasonally Adjusted
79.2,MV3E,Private housing R&M,2013,Seasonally Adjusted
86.1,MV3E,Private housing R&M,2014,Seasonally Adjusted
88.5,MV3E,Private housing R&M,2015,Seasonally Adjusted
93.5,MV3E,Private housing R&M,2016,Seasonally Adjusted
99.7,MV3E,Private housing R&M,2017,Seasonally Adjusted
99.4,MV3E,Private housing R&M,2018,Seasonally Adjusted
100,MV3E,Private housing R&M,2019,Seasonally Adjusted
88.6,MV3E,Private housing R&M,2020,Seasonally Adjusted
111.5,MV3E,Private housing R&M,2021,Seasonally Adjusted
125.9,MV3E,Private housing R&M,2022,Seasonally Adjusted
91.5,MV3E,Private housing R&M,Jan to Mar 1997,Seasonally Adjusted
87.5,MV3E,Private housing R&M,Apr to June 1997,Seasonally Adjusted
94.1,MV3E,Private housing R&M,July to Sept 1997,Seasonally Adjusted
98.8,MV3E,Private housing R&M,Oct to Dec 1997,Seasonally Adjusted
96,MV3E,Private housing R&M,Jan to Mar 1998,Seasonally Adjusted
97.3,MV3E,Private housing R&M,Apr to June 1998,Seasonally Adjusted
93,MV3E,Private housing R&M,July to Sept 1998,Seasonally Adjusted
93.3,MV3E,Private housing R&M,Oct to Dec 1998,Seasonally Adjusted
90.6,MV3E,Private housing R&M,Jan to Mar 1999,Seasonally Adjusted
93.6,MV3E,Private housing R&M,Apr to June 1999,Seasonally Adjusted
95.3,MV3E,Private housing R&M,July to Sept 1999,Seasonally Adjusted
95.3,MV3E,Private housing R&M,Oct to Dec 1999,Seasonally Adjusted
96.6,MV3E,Private housing R&M,Jan to Mar 2000,Seasonally Adjusted
93.5,MV3E,Private housing R&M,Apr to June 2000,Seasonally Adjusted
94.4,MV3E,Private housing R&M,July to Sept 2000,Seasonally Adjusted
92.1,MV3E,Private housing R&M,Oct to Dec 2000,Seasonally Adjusted
99.7,MV3E,Private housing R&M,Jan to Mar 2001,Seasonally Adjusted
99.3,MV3E,Private housing R&M,Apr to June 2001,Seasonally Adjusted
96.9,MV3E,Private housing R&M,July to Sept 2001,Seasonally Adjusted
97.3,MV3E,Private housing R&M,Oct to Dec 2001,Seasonally Adjusted
98.7,MV3E,Private housing R&M,Jan to Mar 2002,Seasonally Adjusted
105,MV3E,Private housing R&M,Apr to June 2002,Seasonally Adjusted
108.1,MV3E,Private housing R&M,July to Sept 2002,Seasonally Adjusted
113.9,MV3E,Private housing R&M,Oct to Dec 2002,Seasonally Adjusted
97.1,MV3E,Private housing R&M,Jan to Mar 2003,Seasonally Adjusted
107.8,MV3E,Private housing R&M,Apr to June 2003,Seasonally Adjusted
105.9,MV3E,Private housing R&M,July to Sept 2003,Seasonally Adjusted
105.1,MV3E,Private housing R&M,Oct to Dec 2003,Seasonally Adjusted
106.7,MV3E,Private housing R&M,Jan to Mar 2004,Seasonally Adjusted
98.9,MV3E,Private housing R&M,Apr to June 2004,Seasonally Adjusted
101.3,MV3E,Private housing R&M,July to Sept 2004,Seasonally Adjusted
97.1,MV3E,Private housing R&M,Oct to Dec 2004,Seasonally Adjusted
94.9,MV3E,Private housing R&M,Jan to Mar 2005,Seasonally Adjusted
92,MV3E,Private housing R&M,Apr to June 2005,Seasonally Adjusted
91.3,MV3E,Private housing R&M,July to Sept 2005,Seasonally Adjusted
89.9,MV3E,Private housing R&M,Oct to Dec 2005,Seasonally Adjusted
89.8,MV3E,Private housing R&M,Jan to Mar 2006,Seasonally Adjusted
88.3,MV3E,Private housing R&M,Apr to June 2006,Seasonally Adjusted
84,MV3E,Private housing R&M,July to Sept 2006,Seasonally Adjusted
83,MV3E,Private housing R&M,Oct to Dec 2006,Seasonally Adjusted
85,MV3E,Private housing R&M,Jan to Mar 2007,Seasonally Adjusted
85.8,MV3E,Private housing R&M,Apr to June 2007,Seasonally Adjusted
81.7,MV3E,Private housing R&M,July to Sept 2007,Seasonally Adjusted
84,MV3E,Private housing R&M,Oct to Dec 2007,Seasonally Adjusted
83.7,MV3E,Private housing R&M,Jan to Mar 2008,Seasonally Adjusted
86.1,MV3E,Private housing R&M,Apr to June 2008,Seasonally Adjusted
82.5,MV3E,Private housing R&M,July to Sept 2008,Seasonally Adjusted
88,MV3E,Private housing R&M,Oct to Dec 2008,Seasonally Adjusted
76.3,MV3E,Private housing R&M,Jan to Mar 2009,Seasonally Adjusted
73.4,MV3E,Private housing R&M,Apr to June 2009,Seasonally Adjusted
78.4,MV3E,Private housing R&M,July to Sept 2009,Seasonally Adjusted
69.3,MV3E,Private housing R&M,Oct to Dec 2009,Seasonally Adjusted
75.4,MV3E,Private housing R&M,Jan to Mar 2010,Seasonally Adjusted
80.4,MV3E,Private housing R&M,Apr to June 2010,Seasonally Adjusted
85.7,MV3E,Private housing R&M,July to Sept 2010,Seasonally Adjusted
84.1,MV3E,Private housing R&M,Oct to Dec 2010,Seasonally Adjusted
81.8,MV3E,Private housing R&M,Jan to Mar 2011,Seasonally Adjusted
81.6,MV3E,Private housing R&M,Apr to June 2011,Seasonally Adjusted
79.7,MV3E,Private housing R&M,July to Sept 2011,Seasonally Adjusted
83.6,MV3E,Private housing R&M,Oct to Dec 2011,Seasonally Adjusted
80.4,MV3E,Private housing R&M,Jan to Mar 2012,Seasonally Adjusted
77.4,MV3E,Private housing R&M,Apr to June 2012,Seasonally Adjusted
75.7,MV3E,Private housing R&M,July to Sept 2012,Seasonally Adjusted
74.4,MV3E,Private housing R&M,Oct to Dec 2012,Seasonally Adjusted
76.2,MV3E,Private housing R&M,Jan to Mar 2013,Seasonally Adjusted
78.8,MV3E,Private housing R&M,Apr to June 2013,Seasonally Adjusted
80.9,MV3E,Private housing R&M,July to Sept 2013,Seasonally Adjusted
80.9,MV3E,Private housing R&M,Oct to Dec 2013,Seasonally Adjusted
86.4,MV3E,Private housing R&M,Jan to Mar 2014,Seasonally Adjusted
86,MV3E,Private housing R&M,Apr to June 2014,Seasonally Adjusted
87,MV3E,Private housing R&M,July to Sept 2014,Seasonally Adjusted
84.8,MV3E,Private housing R&M,Oct to Dec 2014,Seasonally Adjusted
85.5,MV3E,Private housing R&M,Jan to Mar 2015,Seasonally Adjusted
88.8,MV3E,Private housing R&M,Apr to June 2015,Seasonally Adjusted
89.5,MV3E,Private housing R&M,July to Sept 2015,Seasonally Adjusted
90.2,MV3E,Private housing R&M,Oct to Dec 2015,Seasonally Adjusted
91.7,MV3E,Private housing R&M,Jan to Mar 2016,Seasonally Adjusted
92.6,MV3E,Private housing R&M,Apr to June 2016,Seasonally Adjusted
93.7,MV3E,Private housing R&M,July to Sept 2016,Seasonally Adjusted
95.8,MV3E,Private housing R&M,Oct to Dec 2016,Seasonally Adjusted
98.2,MV3E,Private housing R&M,Jan to Mar 2017,Seasonally Adjusted
99.5,MV3E,Private housing R&M,Apr to June 2017,Seasonally Adjusted
99.9,MV3E,Private housing R&M,July to Sept 2017,Seasonally Adjusted
101.3,MV3E,Private housing R&M,Oct to Dec 2017,Seasonally Adjusted
97.8,MV3E,Private housing R&M,Jan to Mar 2018,Seasonally Adjusted
101.2,MV3E,Private housing R&M,Apr to June 2018,Seasonally Adjusted
100.2,MV3E,Private housing R&M,July to Sept 2018,Seasonally Adjusted
98.6,MV3E,Private housing R&M,Oct to Dec 2018,Seasonally Adjusted
101.7,MV3E,Private housing R&M,Jan to Mar 2019,Seasonally Adjusted
99.8,MV3E,Private housing R&M,Apr to June 2019,Seasonally Adjusted
99.7,MV3E,Private housing R&M,July to Sept 2019,Seasonally Adjusted
98.7,MV3E,Private housing R&M,Oct to Dec 2019,Seasonally Adjusted
92.7,MV3E,Private housing R&M,Jan to Mar 2020,Seasonally Adjusted
57.1,MV3E,Private housing R&M,Apr to June 2020,Seasonally Adjusted
99.5,MV3E,Private housing R&M,July to Sept 2020,Seasonally Adjusted
105,MV3E,Private housing R&M,Oct to Dec 2020,Seasonally Adjusted
106.3,MV3E,Private housing R&M,Jan to Mar 2021,Seasonally Adjusted
108.6,MV3E,Private housing R&M,Apr to June 2021,Seasonally Adjusted
112,MV3E,Private housing R&M,July to Sept 2021,Seasonally Adjusted
119.1,MV3E,Private housing R&M,Oct to Dec 2021,Seasonally Adjusted
124.5,MV3E,Private housing R&M,Jan to Mar 2022,Seasonally Adjusted
126,MV3E,Private housing R&M,Apr to Jun 2022,Seasonally Adjusted
127.3,MV3E,Private housing R&M,Jul to Sep 2022,Seasonally Adjusted
