Value,tc1,tc2,Country
0,Europe,EU15,Europe - EU15
0,Europe,EU15,Europe - EU15
35.06376728982452,Europe,EU15,Europe - EU15
53.3988553399312,Europe,EU15,Europe - EU15
79.4080453702439,Europe,EU15,Europe - EU15
63.81102529579257,Europe,EU15,Europe - EU15
117.82243053843341,Europe,EU15,Europe - EU15
227.33390216577644,Europe,EU15,Europe - EU15
954.2737930871292,Europe,EU15,Europe - EU15
1905.5176213683837,Europe,EU15,Europe - EU15
2366.790883973694,Europe,EU15,Europe - EU15
2192.218677497404,Europe,EU15,Europe - EU15
1694.6151078060627,Europe,EU15,Europe - EU15
1638.1962932044994,Europe,EU15,Europe - EU15
1198.2727408359171,Europe,EU15,Europe - EU15
1693.2632530935966,Europe,EU15,Europe - EU15
2401.357435707944,Europe,EU15,Europe - EU15
3747.3336133648954,Europe,EU15,Europe - EU15
3980.7123027053376,Europe,EU15,Europe - EU15
5325.430747689705,Europe,EU15,Europe - EU15
4622.663671950398,Europe,EU15,Europe - EU15
5808.130933486644,Europe,EU15,Europe - EU15
5396.976234731427,Europe,EU15,Europe - EU15
4697.462851872835,Europe,EU15,Europe - EU15
2580.887335939972,Europe,EU15,Europe - EU15
2178.6894861356254,Europe,EU15,Europe - EU15
9460,Europe,EU15,Europe - EU15
43630,Europe,EU15,Europe - EU15
43630,Europe,EU15,Europe - EU15
1059.584248488046,Other countries,,Other countries
1188.2951015950462,Other countries,,Other countries
1424.0294186125757,Other countries,,Other countries
1158.2548944427167,Other countries,,Other countries
942.9740268601215,Other countries,,Other countries
948.1093390198018,Other countries,,Other countries
1460.7478934724468,Other countries,,Other countries
1556.1876117413126,Other countries,,Other countries
1255.946417632332,Other countries,,Other countries
1244.4433566549212,Other countries,,Other countries
871.2332365645296,Other countries,,Other countries
1507.441467078826,Other countries,,Other countries
1096.4049725684256,Other countries,,Other countries
1172.2866756735107,Other countries,,Other countries
1661.8096440851239,Other countries,,Other countries
1152.9062656785604,Other countries,,Other countries
1031.7879955973956,Other countries,,Other countries
1117.1389323689054,Other countries,,Other countries
1596.9423603278335,Other countries,,Other countries
1368.2625949480575,Other countries,,Other countries
1217.851342229731,Other countries,,Other countries
1122.0401569348,Other countries,,Other countries
1007.7673365991066,Other countries,,Other countries
1086.3123838444092,Other countries,,Other countries
1171.6647157609555,Other countries,,Other countries
823.8180201909202,Other countries,,Other countries
62.02719072795372,Other countries,,Other countries
41.51716703387191,Other countries,,Other countries
48.1880284951685,Other countries,,Other countries
56.224633232300015,Other countries,,Other countries
144.10511140080004,Other countries,,Other countries
119.05343482850003,Other countries,,Other countries
149.63469142440002,Other countries,,Other countries
146.0142441607,Other countries,,Other countries
230.50848352420005,Other countries,,Other countries
48.168464425430464,Other countries,,Other countries
140.5926455206687,Other countries,,Other countries
168.47813905390356,Other countries,,Other countries
100.23031753090396,Other countries,,Other countries
58.934217287509554,Other countries,,Other countries
71.26409918158619,Other countries,,Other countries
112.5433020617951,Other countries,,Other countries
290.8415039045024,Other countries,,Other countries
296.2961365494819,Other countries,,Other countries
391.228187319169,Other countries,,Other countries
420.1100454409966,Other countries,,Other countries
561.6735190092294,Other countries,,Other countries
672.6233457025597,Other countries,,Other countries
560.7909078912703,Other countries,,Other countries
795.1527373502826,Other countries,,Other countries
1122.367833030068,Other countries,,Other countries
964.6706118846795,Other countries,,Other countries
876.4654144261226,Other countries,,Other countries
766.7627499744584,Other countries,,Other countries
1294.7833768881721,Other countries,,Other countries
1042.654911694095,Other countries,,Other countries
939.5503700395926,Other countries,,Other countries
892.4682817335489,Other countries,,Other countries
974.2845453102291,Other countries,,Other countries
2810,Other countries,,Other countries
10900,Other countries,,Other countries
10900,Other countries,,Other countries
